col1,col2,col3,col4,col5,col6
Series,Origin,Year,FuelType,Function,
2937,ImmobiliserSystem,Thesis,02-09,Key Programming,
2938,ImmobiliserSystem,Ypsilon,03-06,Key Programming,
2939,ImmobiliserSystem,Phedra,05-,Key Programming,
Series,Origin,Year,FuelType,Function,
2930,Immobiliser System,159,Other,KeyProgramming,
2931,Immobiliser System,Spider,Other,KeyProgramming,
2932,Immobiliser System,Brera,Other,KeyProgramming,
2933,Immobiliser System,147,Other,KeyProgramming,
2934,Immobiliser System,GT,Other,KeyProgramming,
2935,Immobiliser System,Giulietta,Other,KeyProgramming,
2936,Immobiliser System,Mito,Other,KeyProgramming,
,KNOW BEANS,,,,
Series,,Origin,Year,FuelType,Function
2884,,ZD2,Other,Other,Other
,OPEL,,,,
,IMMO,,,,
Series,Origin,Year,FuelType,Function,
ReadPIN code,Other,Other,Other,Type 1,
ImmobilizerSystem,Selectfrom type,Type 1,Other,SmartKey,
ImmobilizerSystem,Selectfrom vehicle,Insignia,Other,SmartKey,
ImmobilizerSystem,Selectfrom type,Type 1,Other,Immobilization,
ImmobilizerSystem,Selectfrom vehicle,Insignia,Other,Immobilization,
ImmobilizerSystem,Selectfrom type,Type 2,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Agila,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Astra-G,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Calibra,OtherIMMO2,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Combo,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Corsa-B,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Corsa-C,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Meriva,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Movano,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Omega-B,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Sintra,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Tigra-B,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Vectra-B,Other,IMMO2,
Series,Origin,Year,FuelType,Function,
ImmobilizerSystem,Selectfrom vehicle,Zafira-B,Other,IMMO2,
ImmobiliserSystem,Selectfrom type,Type 3,Other,IMMO3,
Selectfrom vehicle,Astra-H,Other,Type 3,,
ImmobilizerSystem,Selectfrom type,Type 4,Other,IMMO4,
ImmobilizerSystem,Selectfrom vehicle,Agila B,-2009,IMMO4,
ImmobilizerSystem,Selectfrom type,Type 5,Other,IMMO5,
ImmobilizerSystem,Selectfrom vehicle,Agila B,2009-,IMMO5,
RemotecontrolSystem,Astra-H,Other,Other,Remote control,
RemotecontrolSystem,Zafira-B,Other,Other,Remote control,
RemotecontrolSystem,Vectra-C/Signum,Other,Other,Remote control,
RemotecontrolSystem,Corsa-D,Other,Other,Remote control,
Series,Origin,Year,FuelType,Function,
ImmobiliserSystem,Other,Other,Other,Type 1,
Series,Origin,Year,FuelType,Function,
Viaggio,Other,Other,Other,KeyProgramming,
Palio,Other,Other,Other,KeyProgramming,
Siena,Other,Other,Other,KeyProgramming,
Bravo,Other,Other,Other,KeyProgramming,
Perla,Other,Other,Other,KeyProgramming,
Series,Origin,Year,FuelType,Function,
Freemont,Other,Other,Other,SmartKey Programming,
Viaggio,Other,Other,Other,SmartKey Programming,
Series,Origin,Year,FuelType,Function,
ImmobiliserSystem,GT,Other,Other,Type 1,
ImmobiliserSystem,MG3,2013-,Other,Type 1,
ImmobiliserSystem,MG5,2013-,Other,Type 1,
ImmobiliserSystem,MG7,2013-,Other,Type 1,
ImmobiliserSystem,MG6,-2012,Other,Type 2,
RemoteKeySystem,MG7,Other,Other,Remote Key System2,
RemoteKeySystem,MG3,Other,Other,Remote Key System3,
ImmobiliserSystem,MG3,-2012,Other,Type 0,
ImmobiliserSystem,MG5,-2012,Other,Type 0,
ImmobiliserSystem,MG6,2013-,Other,Type 3,
ImmobiliserSystem,GS,SmartKey,Other,Type 8,
ImmobiliserSystem,GS,不SmartKey,Other,Type 9,
Series,Origin,Year,FeulType,Function,
Geely,Vision,Other,Other,Industrialtraffic security system,
Geely,Free Cruiser,Other,Other,Industrialtraffic security system,
Geely,Eagle,Other,Other,Industrialtraffic security system,
Series,Origin,Year,FeulType,Function,
Gleagle,Panda,Other,Other,Industrialtraffic security system,
Gleagle,GX718,Other,Other,Industrialtraffic security system,
Gleagle,GX720,Other,Other,Industrialtraffic security system,
Gleagle,GX7,Other,Other,Industrialtraffic security system,
Gleagle,GC7,Other,Other,Industrialtraffic security system,
Gleagle,GX2,Other,Other,Industrialtraffic security system,
Gleagle,GX9,Other,Other,Industrialtraffic security system,
Emgrand,EC7(EC7RS) Series,Other,Other,Industrialtraffic security system,
Emgrand,EC820,Other,Other,Industrialtraffic security system,
Emgrand,EC825,Other,Other,Industrialtraffic security system,
Emgrand,EX8,Other,Other,Industrialtraffic security system,
Emgrand,FC-2,Other,Other,Industrialtraffic security system,
Emgrand,GS,Other,Other,Industrialtraffic security system,
Emgrand,GL,Other,Other,Industrialtraffic security system,
Mapgl,Other,Other,Other,Industrialtraffic security system,
Engloncar,SC5,Other,Other,Industrialtraffic security system,
Engloncar,SC6,Other,Other,Industrialtraffic security system,
Engloncar,SC7,Other,Other,Industrialtraffic security system,
Engloncar,SX7,Other,Other,Industrialtraffic security system,
Engloncar,LG-1(CROSS),Other,Other,Industrialtraffic security system,
Gleagle,GX718,Other,Other,Lear body controlsystem,
Gleagle,GX7,Other,Other,Lear body controlsystem,
Emgrand,EC820,Other,Other,Lear body controlsystem,
Emgrand,EC825,Other,Other,Lear body controlsystem,
Engloncar,SX7,Other,Other,Lear body controlsystem,
Series,Origin,Year,FeulType,Function,
Gleagle,GX7,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Gleagle,GX9,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Emgrand,EC825,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Emgrand,EV8,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Engloncar,SX7,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Gleagle,GX7,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Gleagle,GX9,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,EC825,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,EV8,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,GC9,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,GL,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,GS,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Engloncar,SX7,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,EC7(EC7RS) Series,Other,Other,Continentalsmart keysystem(15-beforefree code),
Emgrand,EV,Other,Other,Continentalsmart keysystem(15-beforefree code),
Emgrand,HEV,Other,Other,Continentalsmart keysystem(15-beforefree code),
Emgrand,EC7(EC7RS) Series,Other,Other,Continentalsmart keysystem(15-after 32-digitESK code),
Emgrand,EV,Other,Other,Continentalsmart keysystem(15-after 32-digitESK code),
Emgrand,HEV,Other,Other,Continentalsmart keysystem(15-after 32-digitESK code),
Emgrand,EC820,Other,Other,Lear body controlsystem(CANBUS),
Emgrand,EC825,Other,Other,Lear body controlsystem(CANBUS),
Emgrand,EC820,Other,Other,UMC body controlsystem (UDS),
Emgrand,EC820,Other,Other,Mitsubishiimmobiliser system,
Emgrand,EC825,Other,Other,Mitsubishiimmobiliser system,
Emgrand,GL,Other,Other,Continentalbody controlsystem,
Series,Origin,Year,FeulType,Function,
Emgrand,GS,Other,Other,Continentalbody controlsystem,
Emgrand,X6,Other,Other,UMC body controlsystem (UDS),
Emgrand,X6,Other,Other,Narnsmartkey system,
Emgrand,NL-3,Other,Other,Smartkeysystem,
Engloncar,TX4,Other,Other,Integrated immobiliser system(withDelphi engine),
Engloncar,SC3,Other,Other,Integrated immobiliser system (with electricmotor),
Gleagle,GX720,Other,Other,Continentalbody controlsystem,
Series,Origin,Year,Fuel Type,Function,
4th generation immobiliser system,Other,NEC24C32,Other,KeyProgramming,
4th generation immobiliser system,Other,NEC95320,Other,KeyProgramming,
4th generation immobiliser system,Other,13NEC 24C64,Other,KeyProgramming,
5th generation immobiliser system,Other,Other,Other,Key(SmartKey)Programming,
4th generation immobiliser system,Other,NEC24C64,Other,KeyProgramming,
4th generation immobiliser system,Other,13NEC+24C64Color Screen,Other,KeyProgramming,
4th generation immobiliser system,Other,9S12XHZ512,Other,KeyProgramming,
Touareg,Other,03-07,Other,KeyProgramming,
Phaeton,Other,08-,Other,KeyProgramming,
Series,Origin,Year,Fuel Type,Function,
4th generation immobiliser system,Other,CDC+24C32,Other,KeyProgramming,
2th &3th generation,Other,Other,Other,ReadPin Code,
2th &3th generation,Other,Other,Other,KeyProgramming,
RemoteKey,Other,15POLO,Other,RemoteKeyProgramming,
4th generation immobiliser system,Other,Identifyimmobiliser type,Other,Identify4th generation immobiliser system,
RemoteKey,Other,Other,Other,RemoteKeyProgramming,
Touareg,Other,08-11,Other,KeyProgramming,
Phaeton,Other,03-07,Other,KeyProgramming,
4th generation immobiliser system,Other,12NEC+24C64Color Screen,Other,KeyProgramming,
RemoteKey,Other,Other,Other,CentralDoor Lock(1281),
RemoteKey,Other,Other,Other,CentralModule(1281),
Series,Origin,Year,FuelType,Function,
Selectfrom type,Other,Other,Other,CAS2/CAS3 Series,
Selectfrom type,Other,Other,Other,CAS4/CAS4+,
Series,Origin,Year,FuelType,Function,
S60,Other,Other,Other,Proximity Key[insertkeyto start],
S60,Other,Other,Other,SmartKey[one-button start],
Series,Origin,Year,FuelType,Function,
S80,Other,09-,Other,SmartKey[one-button start],
XC60,Other,09-,Other,SmartKey[one-button start],
S80,Other,09-,Other,Proximity Key[insertkeyto start],
XC60,Other,09-,Other,Proximity Key[insertkeyto start],
S40,Other,Other,Other,SmartKey,
S40,Other,Other,Other,Key Programming,
S80,Other,-09,Other,Proximity Key[insertkeyto start],
V40,Other,Other,Other,Proximity Key[insertkeyto start],
C30,Other,Other,Other,Key Programming,
C30,Other,Other,Other,SmartKey,
V40,Other,Other,Other,SmartKey[one-button start],
S80,Other,-09,Other,SmartKey[one-button start],
V60,Other,Other,Other,Proximity Key[insertkeyto start],
V60,Other,Other,Other,SmartKey[one-button start],
XC60,Other,-09,Other,Proximity Key[insertkeyto start],
XC60,Other,-09,Other,SmartKey[one-button start],
XC90,Other,Other,Other,FlipKey,
C70,Other,Other,Other,Key Programming,
C70,Other,Other,Other,SmartKey,
V70,Other,09-,Other,Proximity Key[insertkeyto start],
V70,Other,09-,Other,SmartKey[one-button start],
Series,Origin,Year,FuelType,Function,
Series,Origin,Year,FuelType,Function,
New Mondeo,Other,Other,Other,KeyProgramming,
New Mondeo,Other,Other,Other,SmartKey Programming,
Escort,Other,Other,Other,KeyProgramming,
New Edge,Other,15-,Other,SmartKey Programming,
Mustang,Other,Other,Other,SmartKey Programming,
Kuga,USA,05-07,Other,KeyProgramming,
Raptor F350,Other,Other,Other,KeyProgramming,
Transit,Other,Other,Other,KeyProgramming,
MondeoWins,Other,Other,Other,SmartKey Programming,
MondeoWins,Other,2012,Other,KeyProgramming,
MondeoWins,Other,2011,Other,KeyProgramming,
Focus,Other,2004-2008,Other,KeyProgramming,
Focus,Other,2011-2013,Other,KeyProgramming,
Kuga,Other,Other,Other,KeyProgramming,
Ecosport,Other,Other,Other,KeyProgramming,
Fiesta,Other,Other,Other,KeyProgramming,
Focus,Other,2009-2011,Other,KeyProgramming,
Mondeo,Other,Other,Other,KeyProgramming,
Ecosport,Other,Other,Other,SmartKey Programming,
Fiesta,Other,Other,Other,SmartKey Programming,
Focus,Other,14-,Other,KeyProgramming,
Exploror,Other,11-,Other,KeyProgramming,
ClassicFocus,Other,Other,Type2,KeyProgramming,
Kuga,Other,Other,Other,SmartKey Programming,
New Edge,Other,-15,Other,SmartKey Programming,
Series,Origin,Year,FuelType,Function,
Raptor F150,Other,2011-2014,Other,KeyProgramming,
Raptor F150,Other,2009-2010,Other,KeyProgramming,
Raptor F250,Other,2009-2010,Other,KeyProgramming,
Everest,Other,Other,Other,SmartKey Programming,
ClassicFocus,Other,Other,Type1,KeyProgramming,
Exploror,Other,15-,Other,SmartKey Programming,
Taurus,Other,15-,Other,SmartKey Programming,
Everest,Other,Other,Other,KeyProgramming,
Series,Origin,Year,FuelType,Function,
Camry,Other,00-04,Other,OrdinaryKey(4C),
Camry,Other,05-09,Other,OrdinaryKey(4D),
Reiz,Other,-08,Other,OrdinaryKey(4D),
Crown,Other,-08,Other,OrdinaryKey(4D),
Highlander,Other,-09,Other,OrdinaryKey(4D),
Prado,Other,10-,Other,SmartKey,
Crown,Other,08-,Other,SmartKey,
RAV4,Other,10,Other,SmartKey,
Reiz,Other,10-,Other,OrdinaryKey(4D-G-H-8A),
Corolla,Other,10-,Other,OrdinaryKey(4D-G-H-8A),
Camry,Other,10-13,Other,OrdinaryKey(4D-G-H-8A),
Crown,Other,-08,Other,SmartKey,
Crown,Other,-08,Other,RemoteKey,
Series,Origin,Year,FuelType,Function,
Reiz,Other,-08,Other,RemoteKey,
Camry,Other,05-09,Other,SmartKey,
Reiz,Other,10-,Other,RemoteKey,
Camry,Other,13-,Other,RemoteKey,
Vios,Other,13-,Other,OrdinaryKey(4D),
Corolla,Other,10-,Other,RemoteKey,
Camry,Other,05-09,Other,RemoteKey,
AVANZA,Other,Other,Other,OrdinaryKey(4D-G-H-8A),
Vios,Other,13-,Other,OrdinaryKey(4D-G-H-8A),
4D-G series lostallkey,Other,Other,Other,OrdinaryKey(4D-G-H-8A),
Highlander,Other,13,Other,OrdinaryKey(4D-G-H-8A),
Yaris,Other,08-11,Other,SmartKey,
Series,Origin,Year,FuelType,Funciton,
Tailboxcontrol,Cseries,204,Other,Type 1,
Tailboxcontrol,CLK series,204,Other,Type 1,
Tailboxcontrol,Eseries,212,Other,Type 1,
Tailboxcontrol,Sseries,221,Other,Type 2,
Series,Origin,Year,FuelType,Function,
ATS,Other,Other,Other,Key Programming,
Series,Origin,Year,FuelType,Function,
ATSL,Other,15-,Other,Key Programming,
SRX,Other,2010-2014,Other,Key Programming,
SRX,Other,15-,Other,Key Programming,
XTS,Other,-15,Other,Key Programming,
ATS,Other,Other,Other,SmartKeyProgramming,
ATSL,Other,15-,Other,SmartKeyProgramming,
SRX,Other,2010-2014,Other,SmartKeyProgramming,
SRX,Other,15-,Other,SmartKeyProgramming,
XTS,Other,-15,Other,SmartKeyProgramming,
CT6,Other,2016,Other,SmartKeyProgramming,
CTS,Other,13-,Other,SmartKeyProgramming,
Escalade,Other,Other,Other,SmartKeyProgramming,
CT6,Other,2017,Other,SmartKeyProgramming,
XT5,Other,2017,Other,SmartKeyProgramming,
CTS,Other,2008-2012,One-click,Key Programming,
DTS,Other,2008-2010,Other,Key Programming,
Escalade,Other,Other,Other,Key Programming,
SRX,Other,2004-2009,Other,Key Programming,
SLS,Other,2005-2009,Other,Key Programming,
SLS,Other,2013,Other,Key Programming,
SLS,Other,09-,Other,Key Programming,
Escalade,Other,Other,Other,RemoteKeyProgramming,
CTS,Other,Other,Other,RemoteKeyProgramming,
ReadPin Code,Other,Other,Other,ReadPin Code,
ATSL,Other,2017,Other,SmartKeyProgramming,
Series,Origin,Year,FuelType,Function,
XTS,Other,16-,Other,SmartKeyProgramming,
Series,Origin,Year,FuelType,Function,
Excelle,Other,-14,Other,Key Programming,
Excelle,Other,-14,Other,SmartKeyProgramming,
Envision,Other,Other,Other,Key Programming,
Encore,Other,Other,Other,Key Programming,
GL8,Other,Other,Type 1,Key Programming,
Lacrosse,Other,-16,Other,Key Programming,
Regal,Other,Other,Other,Key Programming,
Verano,Other,15-,Other,Key Programming,
Envision,Other,Other,Other,SmartKeyProgramming,
Encore,Other,Other,Other,SmartKeyProgramming,
GL8,Other,Other,Type 1,SmartKeyProgramming,
Lacrosse,Other,-16,Other,SmartKeyProgramming,
Regal,Other,Other,Other,SmartKeyProgramming,
Verano,Other,15-,Other,SmartKeyProgramming,
Excelle,Other,15-,Other,Key Programming,
Excelle,Other,15-,Other,SmartKeyProgramming,
Excelle,Other,13-,Other,Key Programming,
Lacrosse,Other,2017,Other,SmartKeyProgramming,
Allure,Other,2005-2008,Other,Key Programming,
Enclave,Other,Other,Other,Key Programming,
Series,Origin,Year,FuelType,Function,
Lucerne,Other,Other,Other,Key Programming,
ParkAvenue,Other,Other,Other,Key Programming,
Terraza,Other,Other,Other,Key Programming,
Excelle,Other,-12,Other,Key Programming,
GL8,Other,Other,Type 2,Key Programming,
Excelle,Other,-12,Other,RemoteKeyProgramming,
Excelle,Other,13-,Other,RemoteKeyProgramming,
Enclave,Other,Other,Other,RemoteKeyProgramming,
ParkAvenue,Other,Other,Other,RemoteKeyProgramming,
Lacrosse,Other,Other,Other,RemoteKeyProgramming,
Century,Other,Other,Other,RemoteKeyProgramming,
Regal,Other,Other,Other,RemoteKeyProgramming,
FirstLand,Other,Other,Other,RemoteKeyProgramming,
ReadPin Code,Other,Other,Other,ReadPin Code,
Royaum,Other,Other,Other,Key Programming,
Series,Origin,Year,FuelType,Function,
458,Other,Other,Other,KeyProgramming,
F12,Other,Other,Other,KeyProgramming,
F149,Other,Other,Other,KeyProgramming,
Series,Origin,Year,FuelType,Function,
Cherokee,Other,14-,Other,SmartKey,
Cherokee,Other,14-,Other,Proximity Key,
Series,Origin,Year,FuelType,Function,
Classifiedby System,Ordinary Key,Other,Other,Type 1(CAN),
Classifiedby System,Ordinary Key,Other,Other,Type 2(CAN),
Classifiedby System,Ordinary Key,Other,Other,Type 3(CAN),
Classifiedby System,Ordinary Key,Other,Other,Type 4(CAN),
Classifiedby System,Ordinary Key,Other,Other,Type 5(CAN),
Classifiedby System,SmartKey,Other,Other,Type 1(CAN),
Classifiedby System,RemoteKey,Other,Other,Type 4(CAN),
Classifiedby System,RemoteKey,Other,Other,Type 3(VPW),
Classifiedby System,RemoteKey,Other,Other,Type 2(VPW),
Classifiedby System,RemoteKey,Other,Other,Type 1(VPW),
Classifiedby System,SmartKey,Other,Other,Type 2(CAN),
Classifiedby System,Ordinary Key,Other,Other,Type 6(VPW),
Series,Origin,Year,FuelType,Function,
Power Daily,ImmobiliserSystem,Other,Other,ImmobiliserSystem 1,
Exceed,ImmobiliserSystem,Other,Other,ImmobiliserSystem 1,
Power Daily,Car Body Remote Key System,Other,Other,RemoteKeySystem 1,
Series,Origin,Year,FuelType,Function,
Exceed,Car Body Remote Key System,Other,Other,RemoteKeySystem1,
Series,Origin,Year,FuelType,Function,
SmartKey,Surui,Other,Other,Type1,
SmartKey,Sirui,Other,Other,Type1,
SmartKey,Qin,Other,Other,Type1,
SmartKey,Tang,Other,Other,Type1,
SmartKey,S7,Other,Other,Type1,
SmartKey,G5,Other,Other,Type1,
SmartKey,G6,Other,Other,Type1,
SmartKey,L3,Other,Other,Type1,
SmartKey,F3,Other,Other,Type1,
SmartKey,S6,Other,Other,Type1,
SmartKey,VA,Other,Other,Type1,
SmartKey,E6A,Other,Other,Type1,
SmartKey,E6B,Other,Other,Type1,
SmartKey,E6Y,Other,Other,Type1,
SmartKey,F0,Other,Other,Type1,
SmartKey,G3,Other,Other,Type1,
SmartKey,M6,Other,Other,Type1,
SmartKey,F3R,Other,Other,Type1,
SmartKey,Song,Other,Other,Type1,
Series,Origin,Year,FuelType,Function,
Aveo,Other,Other,Type2,Key Programming,
Cruze,Other,Other,Other,Key Programming,
Malibu,Other,-15,Other,Key Programming,
Trax,Other,Other,Other,Key Programming,
Aveo,Other,Other,Type2,SmartKeyProgramming,
Cruze,Other,Other,Other,SmartKeyProgramming,
Malibu,Other,-15,Other,SmartKeyProgramming,
Trax,Other,Other,Other,SmartKeyProgramming,
Malibu,Other,2016,Other,SmartKeyProgramming,
Lova,Other,2016,Other,Key Programming,
Lova,Other,2016,Other,SmartKeyProgramming,
Epica,Other,13-,Other,Key Programming,
Captiva,ImmobiliserSystem,Ordinary Key,Type2,Key Programming,
Captiva,ImmobiliserSystem,Ordinary Key,Type1,Key Programming,
Aveo,Other,Other,Type1,Key Programming,
Lova,Other,-15,Other,Key Programming,
Epica,Other,-12,Other,Key Programming,
Lova,Other,-15,Other,RemoteKeyProgramming,
Sail,Other,Other,Other,RemoteKeyProgramming,
Epica,Other,13-,Other,RemoteKeyProgramming,
Captiva,RemoteKeySystem,Type 1,Other,RemoteKeyProgramming,
Captiva,RemoteKeySystem,Type 2,Other,RemoteKeyProgramming,
Malibu,Other,2007-2011,Other,RemoteKeyProgramming,
Sail3,Other,Other,Other,RemoteKeyProgramming,
Series,Origin,Year,FuelType,Function,
Lumina,Other,2006-2011,Other,Key Programming,
ReadPin Code,Other,Other,Other,ReadPin Code,
Lova,Other,2016,Other,RemoteKeyProgramming,
Sail,Other,Other,Other,Immobiliser System,
Camaro,Other,Other,Other,Key Programming,
Camaro,Other,Other,Other,SmartKeyProgramming,
Series,Origin,Year,FuelType,Function,
BR451,Other,Other,Other,Ordinary Key,
BR451,Other,Other,Other,Odometer Adjustment,
BR450,Other,Other,Other,Ordinary Key,
Series,Origin,Year,FuelType,Function,
FlyingSpur,Other,12-,Other,KeyProgramming,
Mulsanne,Other,Other,6.8 Liter,Key(Smart Key) Programming,
Series,Origin,Year,FuelType,Function,
Classifiedby System,SmartKey,Other,Other,Immobiliser System 2,
Classifiedby System,SmartKey,Other,Other,Immobiliser System 1,
Series,Origin,Year,FuelType,Function,
Classifiedby System,OrdinaryKey,Other,Other,ImmobiliserSystem 1,
Classifiedby System,OrdinaryKey,Other,Other,ImmobiliserSystem 2,
Classifiedby System,SmartKey,Other,Other,KnobType,
Classifiedby System,SmartKey,Other,Other,Buttontype,
Classifiedby System,RemoteKey,Other,Other,9th generation immobilisersystem,
Classifiedby System,OrdinaryKey,Other,Other,ImmobiliserSystem 4,
Classifiedby System,OrdinaryKey,Other,Other,ImmobiliserSystem 3,
Classifiedby System,OrdinaryKey,Other,Other,Checkimmobiliser type,
Series,Origin,Year,FuelType,Function,
Classifiedby System,SmartKey,Other,Other,SmartKey System,
ReadPin Code,Other,Other,Other,Read PinCode,
Classifiedby System,Ordinary Key,Other,Other,KeySystem,
Series,Origin,Year,FuelType,Function,
Optima,Other,2004-2007,Other,KeyProgramming,
Sportage,Other,2008-2013,2.0 CVVT(Type2),KeyProgramming,
Sportage,Other,2008-2013,2.7 V6,KeyProgramming,
Picanto/Morning,Korea,2006,Petrol,KeyProgramming,
Cerato,Other,2003-2006,Other,KeyProgramming,
Series,Origin,Year,FuelType,Function,
Carens,Korea,2003-2005,Other,KeyProgramming,
Carens,Korea,2006,Petrol,KeyProgramming,
Carens,Korea,2006,DieselType 2,KeyProgramming,
Sportage,Other,2005,Other,KeyProgramming,
Sportage,Other,2006,DieselType 2,KeyProgramming,
Sportage,Other,2006,2.0 CVVT,KeyProgramming,
Sportage,Other,2006,2.7 V6,KeyProgramming,
Magentis(Optima),Korea,2007,Petrol,KeyProgramming,
Sorento,Korea,2003-2006,Diesel,KeyProgramming,
Sorento,Korea,2007-2008,PetrolType 2,KeyProgramming,
Sorento,Korea,2007-2008,Diesel,KeyProgramming,
K3(YDC),Other,12-,Other,KeyProgramming,
K3(YD),Other,14-,Other,KeyProgramming,
Carens/Rondo(New Carens),Korea,14-,Other,KeyProgramming,
Sorento,Korea,15-,Other,KeyProgramming,
Forte,Other,2009-2013,Other,KeyProgramming,
Sportage,Other,2008-2013,2.0 CVVT(Type1),KeyProgramming,
Sportager,Other,2011-2013,Other,KeyProgramming,
K5,Other,2011-2013,Other,KeyProgramming,
K5,Other,14-,Other,KeyProgramming,
